-3.638e-11-1.2075e+06i,-3.638e-11+1.2075e+06i,5.8208e-11-4.968e+05i,5.8208e-11+4.968e+05i,2.5466e-11-2.3607e+05i,2.5466e-11+2.3607e+05i,-2.0009e-11-1.5535e+05i,-2.0009e-11+1.5535e+05i,-5.6843e-12-58201i,-5.6843e-12+58201i,1.6826e-11-17933i,1.6826e-11+17933i,-2.774e-11-11133i,-2.774e-11+11133i,-2.0705e-11-2185.7i,-2.0705e-11+2185.7i
1.728e-11-1.2387e+06i,1.728e-11+1.2387e+06i,-3.1832e-12-4.7737e+05i,-3.1832e-12+4.7737e+05i,1.819e-11-2.168e+05i,1.819e-11+2.168e+05i,0-1.4853e+05i,0+1.4853e+05i,5.9117e-12-51662i,5.9117e-12+51662i,-8.1855e-12-21300i,-8.1855e-12+21300i,9.3223e-12-9209.3i,9.3223e-12+9209.3i,-1.7764e-11-626.18i,-1.7764e-11+626.18i
-1.4552e-11-9.171e+05i,-1.4552e-11+9.171e+05i,-1.819e-11-5.0038e+05i,-1.819e-11+5.0038e+05i,5.6389e-11-1.8037e+05i,5.6389e-11+1.8037e+05i,-1.5461e-11-1.2367e+05i,-1.5461e-11+1.2367e+05i,1.0914e-11-67871i,1.0914e-11+67871i,-1.819e-12-23127i,-1.819e-12+23127i,-7.8444e-12-4018.2i,-7.8444e-12+4018.2i,-6.8212e-12-9858.1i,-6.8212e-12+9858.1i
-1.4552e-11-7.4539e+05i,-1.4552e-11+7.4539e+05i,-7.276e-12-4.5034e+05i,-7.276e-12+4.5034e+05i,8.8434e-75-1.4165e+05i,8.8434e-75+1.4165e+05i,-2.899e-12-89685i,-2.899e-12+89685i,8.1855e-12-30761i,8.1855e-12+30761i,1.4552e-11-21208i,1.4552e-11+21208i,1.5916e-11-9362.6i,1.5916e-11+9362.6i,7.276e-12-3059.8i,7.276e-12+3059.8i
-2.1828e-11-1.0506e+06i,-2.1828e-11+1.0506e+06i,-2.9104e-11-5.1221e+05i,-2.9104e-11+5.1221e+05i,-1.819e-11-1.9793e+05i,-1.819e-11+1.9793e+05i,-1.1369e-11-1.3615e+05i,-1.1369e-11+1.3615e+05i,-1.819e-11-53640i,-1.819e-11+53640i,1.0459e-11-19097i,1.0459e-11+19097i,2.3874e-11-7015.1i,2.3874e-11+7015.1i,-2.3581e-11-2387.8i,-2.3581e-11+2387.8i
-1.0004e-11-1.0294e+06i,-1.0004e-11+1.0294e+06i,2.9104e-11-4.864e+05i,2.9104e-11+4.864e+05i,1.819e-12-2.1268e+05i,1.819e-12+2.1268e+05i,-1.1994e-11-1.5202e+05i,-1.1994e-11+1.5202e+05i,4.5475e-13-57445i,4.5475e-13+57445i,9.3223e-12-23577i,9.3223e-12+23577i,1.8758e-12-8095.2i,1.8758e-12+8095.2i,-1.3983e-11-4188.2i,-1.3983e-11+4188.2i
-1.819e-11-6.1462e+05i,-1.819e-11+6.1462e+05i,-2.5921e-11-4.4841e+05i,-2.5921e-11+4.4841e+05i,2.5921e-11-1.5685e+05i,2.5921e-11+1.5685e+05i,-1.819e-12-89099i,-1.819e-12+89099i,-5.457e-12-43559i,-5.457e-12+43559i,-2.5011e-12-16960i,-2.5011e-12+16960i,4.7748e-12-5103i,4.7748e-12+5103i,-1.0459e-11-488.12i,-1.0459e-11+488.12i
7.276e-12-7.4643e+05i,7.276e-12+7.4643e+05i,-5.9117e-12-3.5048e+05i,-5.9117e-12+3.5048e+05i,1.819e-12-1.6728e+05i,1.819e-12+1.6728e+05i,-1.2506e-12-74918i,-1.2506e-12+74918i,-1.0914e-11-42248i,-1.0914e-11+42248i,2.2737e-12-16981i,2.2737e-12+16981i,-2.2737e-13-4138.6i,-2.2737e-13+4138.6i,-5.1159e-12-8845.9i,-5.1159e-12+8845.9i
-1.819e-12-7.6772e+05i,-1.819e-12+7.6772e+05i,-8.7311e-11-5.4845e+05i,-8.7311e-11+5.4845e+05i,-1.0004e-11-2.2351e+05i,-1.0004e-11+2.2351e+05i,-1.2733e-11-1.0592e+05i,-1.2733e-11+1.0592e+05i,9.0949e-12-51434i,9.0949e-12+51434i,-3.1832e-12-12807i,-3.1832e-12+12807i,-4.5475e-12-9918.3i,-4.5475e-12+9918.3i,2.1629e-11-927.66i,2.1629e-11+927.66i
-2.7285e-12-5.3926e+05i,-2.7285e-12+5.3926e+05i,-3.2742e-11-3.7077e+05i,-3.2742e-11+3.7077e+05i,0-1.669e+05i,0+1.669e+05i,-3.638e-12-83581i,-3.638e-12+83581i,8.6402e-12-40970i,8.6402e-12+40970i,4.7748e-12-17289i,4.7748e-12+17289i,4.5475e-13-4379.3i,4.5475e-13+4379.3i,-3.1832e-12-9324.2i,-3.1832e-12+9324.2i
9.0949e-12-6.0776e+05i,9.0949e-12+6.0776e+05i,-2.7342e-11-3.4404e+05i,-2.7342e-11+3.4404e+05i,5.9117e-12-1.3191e+05i,5.9117e-12+1.3191e+05i,-1.2278e-11-71644i,-1.2278e-11+71644i,-1.2733e-11-33667i,-1.2733e-11+33667i,5.0022e-12-18256i,5.0022e-12+18256i,1.4097e-11-10608i,1.4097e-11+10608i,4.9738e-12-1105.4i,4.9738e-12+1105.4i
5.457e-12-6.5695e+05i,5.457e-12+6.5695e+05i,2.5466e-11-4.4281e+05i,2.5466e-11+4.4281e+05i,1.5461e-11-1.8497e+05i,1.5461e-11+1.8497e+05i,7.276e-12-92390i,7.276e-12+92390i,-1.819e-12-51675i,-1.819e-12+51675i,6.8212e-12-14433i,6.8212e-12+14433i,-1.5916e-12-10405i,-1.5916e-12+10405i,1.4268e-11-2876.8i,1.4268e-11+2876.8i
-2.8194e-11-8.5795e+05i,-2.8194e-11+8.5795e+05i,5.8208e-11-4.5205e+05i,5.8208e-11+4.5205e+05i,1.4552e-11-1.9955e+05i,1.4552e-11+1.9955e+05i,-2.7285e-12-1.3649e+05i,-2.7285e-12+1.3649e+05i,1.4552e-11-67449i,1.4552e-11+67449i,-7.276e-12-26154i,-7.276e-12+26154i,4.0359e-12-11523i,4.0359e-12+11523i,1.7621e-12-1914.9i,1.7621e-12+1914.9i
1.819e-11-1.0035e+06i,1.819e-11+1.0035e+06i,4.5475e-11-5.3305e+05i,4.5475e-11+5.3305e+05i,0-2.1372e+05i,0+2.1372e+05i,-6.3665e-12-1.5151e+05i,-6.3665e-12+1.5151e+05i,0-75968i,0+75968i,9.5497e-12-30331i,9.5497e-12+30331i,0-13765i,0+13765i,1.3983e-11-3188.7i,1.3983e-11+3188.7i
-7.276e-12-8.1267e+05i,-7.276e-12+8.1267e+05i,0-5.6313e+05i,0+5.6313e+05i,3.0468e-11-2.7978e+05i,3.0468e-11+2.7978e+05i,-2.1828e-11-1.1006e+05i,-2.1828e-11+1.1006e+05i,1.819e-12-81707i,1.819e-12+81707i,-7.1623e-12-3952.3i,-7.1623e-12+3952.3i,1.2676e-11-22706i,1.2676e-11+22706i,-3.1832e-12-19403i,-3.1832e-12+19403i
0-8.591e+05i,0+8.591e+05i,-7.276e-12-4.8555e+05i,-7.276e-12+4.8555e+05i,3.638e-12-2.2599e+05i,3.638e-12+2.2599e+05i,-1.819e-12-1.2284e+05i,-1.819e-12+1.2284e+05i,1.819e-12-61177i,1.819e-12+61177i,-1.4268e-11-24515i,-1.4268e-11+24515i,9.1234e-12-7097.4i,9.1234e-12+7097.4i,-7.617e-12-2223i,-7.617e-12+2223i
0-7.5821e+05i,0+7.5821e+05i,-4.2746e-11-5.6933e+05i,-4.2746e-11+5.6933e+05i,3.638e-12-2.6168e+05i,3.638e-12+2.6168e+05i,-3.638e-12-93435i,-3.638e-12+93435i,-5.457e-12-77289i,-5.457e-12+77289i,1.3642e-11-24693i,1.3642e-11+24693i,1.1937e-11-8084.6i,1.1937e-11+8084.6i,1.2669e-11-258.29i,1.2669e-11+258.29i
-5.8208e-11-6.3551e+05i,-5.8208e-11+6.3551e+05i,-2.7251e-107-4.3574e+05i,-2.7251e-107+4.3574e+05i,-7.276e-12-1.8169e+05i,-7.276e-12+1.8169e+05i,1.819e-11-1.0659e+05i,1.819e-11+1.0659e+05i,-2.0748e-12-45987i,-2.0748e-12+45987i,-1.5916e-11-21088i,-1.5916e-11+21088i,-9.0949e-13-10478i,-9.0949e-13+10478i,7.9012e-12-2117.7i,7.9012e-12+2117.7i
-3.638e-11-6.2196e+05i,-3.638e-11+6.2196e+05i,-2.1828e-11-4.046e+05i,-2.1828e-11+4.046e+05i,4.3656e-11-1.9199e+05i,4.3656e-11+1.9199e+05i,0-1.1164e+05i,0+1.1164e+05i,-7.276e-12-46771i,-7.276e-12+46771i,-7.276e-12-27911i,-7.276e-12+27911i,1.0914e-11-17156i,1.0914e-11+17156i,4.6612e-12-1330.3i,4.6612e-12+1330.3i
-4.5475e-12-8.2822e+05i,-4.5475e-12+8.2822e+05i,-5.0114e-52-3.7884e+05i,-5.0114e-52+3.7884e+05i,2.3306e-11-1.8507e+05i,2.3306e-11+1.8507e+05i,8.5265e-13-1.3576e+05i,8.5265e-13+1.3576e+05i,-1.0004e-11-51363i,-1.0004e-11+51363i,-1.5916e-11-29610i,-1.5916e-11+29610i,-6.8212e-13-17806i,-6.8212e-13+17806i,7.3896e-12-2812.7i,7.3896e-12+2812.7i
-5.042e-11-7.8591e+05i,-5.042e-11+7.8591e+05i,-3.9533e-81-4.0173e+05i,-3.9533e-81+4.0173e+05i,-2.1828e-11-1.7669e+05i,-2.1828e-11+1.7669e+05i,1.0914e-11-1.2515e+05i,1.0914e-11+1.2515e+05i,0-43027i,0+43027i,1.0914e-11-24259i,1.0914e-11+24259i,1.819e-12-11695i,1.819e-12+11695i,1.1767e-11-2014i,1.1767e-11+2014i
1.0914e-11-7.0458e+05i,1.0914e-11+7.0458e+05i,1.0004e-11-3.7628e+05i,1.0004e-11+3.7628e+05i,8.1855e-12-1.872e+05i,8.1855e-12+1.872e+05i,1.2733e-11-1.1491e+05i,1.2733e-11+1.1491e+05i,-1.4552e-11-55384i,-1.4552e-11+55384i,2.7285e-12-25415i,2.7285e-12+25415i,0-2370.5i,0+2370.5i,2.1146e-11-7037.7i,2.1146e-11+7037.7i
